person_id,display_name,variants,first_game,last_game,game_count,games,span_years,largest_gap_years,uncertain
andrew-chacon,Andrew Chacon,Andrew Chacon,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
andrew-clarke,Andrew Clarke,Andrew Clarke,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
andrew-clunes,Andrew Clunes,Andrew Clunes,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
andrew-crews,Andrew Crews,Andrew Crews,halo-mcc-2021,halo-mcc-2021,1,halo-mcc-2021,0,0,False
andrew-de-spain,Andrew De Spain,Andrew De Spain,halo-campaign-evolved,halo-campaign-evolved,1,halo-campaign-evolved,0,0,False
andrew-drew-morgan,Andrew 'Drew' Morgan,Andrew 'Drew' Morgan,halo-4,halo-4,1,halo-4,0,0,False
andrew-dudynsky,Andy Dudynsky,Andy Dudynsky|Andy “Bravo” Dudynsky,halo-mcc,halo-5,2,halo-mcc|halo-5,1,1,False
andrew-e-woods,Andrew E Woods,Andrew E Woods,halo-mcc,halo-mcc,1,halo-mcc,0,0,False
andrew-farrier,Andrew Farrier,Andrew Farrier,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
andrew-ford,Andrew Ford,Andrew Ford,halo-4,halo-5,2,halo-4|halo-5,3,3,False
andrew-franklin,Andrew Franklin,Andrew Franklin,halo-campaign-evolved,halo-campaign-evolved,1,halo-campaign-evolved,0,0,False
andrew-g-davis,Andrew G Davis,Andrew G Davis,halo-3,halo-reach,3,halo-3|halo-3-odst|halo-reach,3,2,False
andrew-giese,Andrew Giese,Andrew Giese,halo-4,halo-4,1,halo-4,0,0,False
andrew-gleeson,Andrew Gleeson,Andrew Gleeson,halo-mcc,halo-infinite,2,halo-mcc|halo-infinite,7,7,False
andrew-glover,Andrew Glover,Andrew Glover,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
andrew-golding,Andrew Golding,Andrew Golding,halo-mcc,halo-mcc,1,halo-mcc,0,0,False
andrew-goossen,Andrew Goosen,Andrew Goosen,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
andrew-hampton,Andrew Hampton,Andrew Hampton|Andrew C Hampton,halo-4,halo-campaign-evolved,6,halo-4|halo-mcc|halo-5|halo-mcc-2021|halo-infinite|halo-campaign-evolved,14,6,False
andrew-harrison,Andrew Harrison,Andrew Harrison,halo-3,halo-reach,3,halo-3|halo-3-odst|halo-reach,3,2,False
andrew-hesky,Andrew Hesky,Andrew Hesky|Andrew A. Hesky,halo-4,halo-5,3,halo-4|halo-mcc|halo-5,3,2,False
andrew-hodge,Andrew Hodge,Andrew Hodge,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
andrew-hopper,Andrew Hopper,Andrew Hopper,halo-3-odst,halo-4,3,halo-3-odst|halo-reach|halo-4,3,2,False
andrew-hotzler,Andrew Hotzler,Andrew Hotzler,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
andrew-hruza,Andrew Hruza,Andrew Hruza,halo-cea,halo-cea,1,halo-cea,0,0,False
andrew-j-nack,Andrew Nack,Andrew Nack,halo-5,halo-5,1,halo-5,0,0,False
andrew-kindred,Andrew Kindred,Andrew Kindred,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
andrew-kinney,Andrew Kinney,Andrew Kinney,halo-4,halo-4,1,halo-4,0,0,False
andrew-kishino,Andrew Kishino,Andrew Kishino,halo-4,halo-infinite,3,halo-4|halo-5|halo-infinite,9,6,False
andrew-lackey,Andrew Lackey,Andrew Lackey,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
andrew-lema,Andrew Lema,Andrew Lema,halo-mcc,halo-mcc,1,halo-mcc,0,0,False
andrew-lovvorn,Andrew Lovvorn,Andrew Lovvorn,halo-3,halo-3,1,halo-3,0,0,False
andrew-lubitz,Andrew Lubitz,Andrew Lubitz,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
andrew-martin,Andrew Martin,Andrew Martin,halo-mcc-2021,halo-mcc-2021,1,halo-mcc-2021,0,0,False
andrew-mckaige,Andrew McKaige,Andy McKage [sic]|Andy McKaige|Andrew McKaige,halo-ce,halo-campaign-evolved,5,halo-ce|halo-2|halo-3|halo-3-odst|halo-campaign-evolved,25,17,False
andrew-mcwilliams,Andrew McWilliams,Andrew McWilliams|Andrew McWillians,halo-4,halo-4,1,halo-4,0,0,False
andrew-morgado,Andrew Morgado,Andrew Morgado,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
andrew-morgan,Andrew Morgan,Andrew Morgan,halo-4,halo-4,1,halo-4,0,0,False
andrew-morganstein,Andrew Morganstein,Andrew Morganstein,halo-4,halo-4,1,halo-4,0,0,False
andrew-morris,Andrew Morris,Andrew Morris,halo-4,halo-infinite,2,halo-4|halo-infinite,9,9,False
andrew-nollan,Andrew Nollan,Andrew Nollan,halo-infinite,halo-campaign-evolved,2,halo-infinite|halo-campaign-evolved,5,5,False
andrew-ogawa,Andrew Ogawa,Andrew Ogawa,halo-3-odst,halo-3-odst,1,halo-3-odst,0,0,False
andrew-orloff,Andrew Orloff,Andrew Orloff|Andrew J. Orloff,halo-3,halo-3,1,halo-3,0,0,False
andrew-osborne,Andrew Osborne,Andrew Osborne,halo-5,halo-infinite,2,halo-5|halo-infinite,6,6,False
andrew-presley,Andrew Presley,Andrew Presley,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
andrew-saturn,Andrew Saturn,Andrew Saturn,halo-reach,halo-reach,1,halo-reach,0,0,False
andrew-schnickel,Andrew Schnickel,Andrew Schnickel,halo-cea,halo-campaign-evolved,6,halo-cea|halo-4|halo-mcc|halo-mcc-2021|halo-infinite|halo-campaign-evolved,15,7,False
andrew-severson,Andrew Severson,Andrew Severson,halo-4,halo-5,2,halo-4|halo-5,3,3,False
andrew-shimer,Andrew Shimer,Andrew Shimer,halo-4,halo-4,1,halo-4,0,0,False
andrew-smallis,Andrew Smallis,Andrew Smallis,halo-5,halo-5,1,halo-5,0,0,False
andrew-smallwood,Andrew Smallwood,Andrew Smallwood,halo-infinite,halo-campaign-evolved,2,halo-infinite|halo-campaign-evolved,5,5,False
