game_id,source_ref,heading
halo-2,L435,Credits / Microsoft / Software Test Engineers
halo-2,L436,Credits / Microsoft / Software Test Engineers
halo-2,L437,Credits / Microsoft / Software Test Engineers
halo-2,L438,Credits / Microsoft / Software Test Engineers
halo-2,L439,Credits / Microsoft / Software Test Engineers
halo-2,L44,Credits / Multiplayer & User-Interface Lead
halo-2,L440,Credits / Microsoft / Software Test Engineers
halo-2,L441,Credits / Microsoft / Software Test Engineers
halo-2,L443,Credits / Microsoft / Contract Test Team
halo-2,L444,Credits / Microsoft / Contract Test Team
halo-2,L445,Credits / Microsoft / Contract Test Team
halo-2,L446,Credits / Microsoft / Contract Test Team
halo-2,L447,Credits / Microsoft / Contract Test Team
halo-2,L448,Credits / Microsoft / Contract Test Team
halo-2,L449,Credits / Microsoft / Contract Test Team
halo-2,L45,Credits / Multiplayer & User-Interface Lead
halo-2,L450,Credits / Microsoft / Contract Test Team
halo-2,L451,Credits / Microsoft / Contract Test Team
halo-2,L452,Credits / Microsoft / Contract Test Team
halo-2,L453,Credits / Microsoft / Contract Test Team
halo-2,L454,Credits / Microsoft / Contract Test Team
halo-2,L455,Credits / Microsoft / Contract Test Team
halo-2,L456,Credits / Microsoft / Contract Test Team
halo-2,L457,Credits / Microsoft / Contract Test Team
halo-2,L458,Credits / Microsoft / Contract Test Team
halo-2,L459,Credits / Microsoft / Contract Test Team
halo-2,L46,Credits / Multiplayer & User-Interface Lead
halo-2,L460,Credits / Microsoft / Contract Test Team
halo-2,L461,Credits / Microsoft / Contract Test Team
halo-2,L462,Credits / Microsoft / Contract Test Team
halo-2,L463,Credits / Microsoft / Contract Test Team
halo-2,L464,Credits / Microsoft / Contract Test Team
halo-2,L465,Credits / Microsoft / Contract Test Team
halo-2,L466,Credits / Microsoft / Contract Test Team
halo-2,L467,Credits / Microsoft / Contract Test Team
halo-2,L468,Credits / Microsoft / Contract Test Team
halo-2,L469,Credits / Microsoft / Contract Test Team
halo-2,L47,Credits / Multiplayer & User-Interface Lead
halo-2,L471,Credits / Microsoft / Additional Microsoft Support
halo-2,L472,Credits / Microsoft / Additional Microsoft Support
halo-2,L473,Credits / Microsoft / Additional Microsoft Support
halo-2,L474,Credits / Microsoft / Additional Microsoft Support
halo-2,L475,Credits / Microsoft / Additional Microsoft Support
halo-2,L476,Credits / Microsoft / Additional Microsoft Support
halo-2,L477,Credits / Microsoft / Additional Microsoft Support
halo-2,L478,Credits / Microsoft / Additional Microsoft Support
halo-2,L479,Credits / Microsoft / Additional Microsoft Support
halo-2,L48,Credits / Multiplayer & User-Interface Lead
halo-2,L482,Credits / Community / Extra Special Thanks to some of our Biggest Community Supporters
halo-2,L483,Credits / Community / Extra Special Thanks to some of our Biggest Community Supporters
halo-2,L484,Credits / Community / Extra Special Thanks to some of our Biggest Community Supporters
halo-2,L485,Credits / Community / Extra Special Thanks to some of our Biggest Community Supporters
