name_raw,name_canonical,category,role_raw,character,studio,inclusion_class,source_ref
Natalie Parker,,Audio,Clarinets,,The Skywalker Symphony Orchestra,core,mobygames:tr118
Anthony Striplen,,Audio,Clarinets,,The Skywalker Symphony Orchestra,core,mobygames:tr118
Rufus Olivier,,Audio,Bassoons,,The Skywalker Symphony Orchestra,core,mobygames:tr119
Steve Paulson,,Voice,Bassoons,,The Skywalker Symphony Orchestra,core,mobygames:tr119
Meredith Brown,,Audio,Horns,,The Skywalker Symphony Orchestra,core,mobygames:tr120
Nicole Cash,,Audio,Horns,,The Skywalker Symphony Orchestra,core,mobygames:tr120
Doug Hull,,Audio,Horns,,The Skywalker Symphony Orchestra,core,mobygames:tr120
Jonathan Ring,,Audio,Horns,,The Skywalker Symphony Orchestra,core,mobygames:tr120
Bruce Roberts,,Voice,Horns,,The Skywalker Symphony Orchestra,core,mobygames:tr120
Glen Swarts,,Audio,Horns,,The Skywalker Symphony Orchestra,core,mobygames:tr120
Ron Blais,,Audio,Trumpets,,The Skywalker Symphony Orchestra,core,mobygames:tr121
Adam Luftman,,Voice,Trumpets,,The Skywalker Symphony Orchestra,core,mobygames:tr121
Scott Macomber,,Audio,Trumpets,,The Skywalker Symphony Orchestra,core,mobygames:tr121
Don Benham,,Audio,Trombones,,The Skywalker Symphony Orchestra,core,mobygames:tr122
Jeff Budin,,Voice,Trombones,,The Skywalker Symphony Orchestra,core,mobygames:tr122
Bruce Chrisp,,Audio,Trombones,,The Skywalker Symphony Orchestra,core,mobygames:tr122
David Ridge,,Audio,Trombones,,The Skywalker Symphony Orchestra,core,mobygames:tr122
Peter Wahrhaftig,,Audio,Tuba,,The Skywalker Symphony Orchestra,core,mobygames:tr123
Deborah Benedict,,Audio,Chorus Contractor,,The Skywalker Chorus,core,mobygames:tr126
Dwayne Condon,,Audio,Conductor,,The Skywalker Chorus,core,mobygames:tr127
Kathryn Amyotte,,Audio,Chorus,,The Skywalker Chorus,core,mobygames:tr128
Deborah Benedict,,Audio,Chorus,,The Skywalker Chorus,core,mobygames:tr128
John Bischoff,,Audio,Chorus,,The Skywalker Chorus,core,mobygames:tr128
Torlef Borsting,,Audio,Chorus,,The Skywalker Chorus,core,mobygames:tr128
Roberta Bowman,,Audio,Chorus,,The Skywalker Chorus,core,mobygames:tr128
Wendy Buzby,,Audio,Chorus,,The Skywalker Chorus,core,mobygames:tr128
Laurel Cameron,,Audio,Chorus,,The Skywalker Chorus,core,mobygames:tr128
Tracy Camp,,Audio,Chorus,,The Skywalker Chorus,core,mobygames:tr128
Siebel Demirmen,,Audio,Chorus,,The Skywalker Chorus,core,mobygames:tr128
Michael Adam Flowers,,Audio,Chorus,,The Skywalker Chorus,core,mobygames:tr128
Elliott Franks,,Audio,Chorus,,The Skywalker Chorus,core,mobygames:tr128
Mark Hernandez,,Audio,Chorus,,The Skywalker Chorus,core,mobygames:tr128
David Huff,,Audio,Chorus,,The Skywalker Chorus,core,mobygames:tr128
